ADM_CD,ZONE,DONG,SLOPE_AVG_Weight,HIGH_Weight,CODE,PUMP_RATIO,F_WEIGHT,Impervious_Surface_Weight
2644012000,강서구,눌차동,12.147570485902818,0.11441848781713136,2644000000,1.1899610558199912e-07,0.07501875468867218,0.609
2644000000,강서구,대저1동,0.5999520038396928,0.022230595327807082,2644000000,1.1899610558199912e-07,0.07501875468867218,0.609
2644000000,강서구,대저2동,0.5999520038396928,0.014820396885204722,2644000000,1.1899610558199912e-07,0.07501875468867218,0.609
2644010400,강서구,명지동,0.5999520038396928,0.019467470484802813,2644000000,1.1899610558199912e-07,0.07501875468867218,0.609
2644011900,강서구,성북동,7.04,0.016453152474252702,2644000000,1.1899610558199912e-07,0.07501875468867218,0.609
2641000000,금정구,구서동,7.04,9.803536345776031,2641000000,3.0427506465845126e-08,0.016666666666666666,0.4735
2641000000,금정구,금사동,2.699784017278618,0.0864104496357699,2641000000,3.0427506465845126e-08,0.016666666666666666,0.4735
2641000000,금정구,남산동,2.699784017278618,14.231827111984282,2641000000,3.0427506465845126e-08,0.016666666666666666,0.4735
2641000000,금정구,노포동,7.04,367.021582733813,2641000000,3.0427506465845126e-08,0.016666666666666666,0.4735
2641000000,금정구,두구동,0.5999520038396928,356.66187050359713,2641000000,3.0427506465845126e-08,0.016666666666666666,0.4735
2641000000,금정구,부곡동,2.699784017278618,0.16252197940216023,2641000000,3.0427506465845126e-08,0.016666666666666666,0.4735
2641000000,금정구,장전동,2.699784017278618,0.1904044209997488,2641000000,3.0427506465845126e-08,0.016666666666666666,0.4735
2671000000,기장군,기장읍,2.699784017278618,0.053252951519718664,2671000000,1.3643805712206659e-08,0.016666666666666666,1.1561561561561562
2671000000,기장군,일광면,2.699784017278618,0.025496106505903036,2671000000,1.3643805712206659e-08,0.016666666666666666,1.1561561561561562
2671000000,기장군,장안읍,2.699784017278618,0.061793519216277314,2671000000,1.3643805712206659e-08,0.016666666666666666,1.1561561561561562
2671000000,기장군,정관읍,2.699784017278618,13.972495088408646,2671000000,1.3643805712206659e-08,0.016666666666666666,1.1561561561561562
2671000000,기장군,철마면,2.699784017278618,448.1151079136691,2671000000,1.3643805712206659e-08,0.016666666666666666,1.1561561561561562
2629000000,남구,용호동,0.5999520038396928,0.04734991208239136,2629000000,2.565982404692082e-07,0.016666666666666666,0.3886888688868887
2617000000,동구,범일동,0.5999520038396928,0.037176588796784725,2617000000,1.9821605550049556e-07,0.016666666666666666,0.4343457067866516
2626000000,동래구,명륜동,0.5999520038396928,0.09595579000251192,2626000000,2.3995200959808034e-07,0.016666666666666666,0.4426696662917135
2626000000,동래구,사직동,1.7998560115190785,0.08201456920371766,2626000000,2.3995200959808034e-07,0.016666666666666666,0.4426696662917135
2626000000,동래구,수안동,0.5999520038396928,0.05890479778950013,2626000000,2.3995200959808034e-07,0.016666666666666666,0.4426696662917135
2626000000,동래구,안락동,7.04,0.06455664405928158,2626000000,2.3995200959808034e-07,0.016666666666666666,0.4426696662917135
2626000000,동래구,온천동,0.5999520038396928,0.135769907058528,2626000000,2.3995200959808034e-07,0.016666666666666666,0.4426696662917135
2623000000,부산진구,가야동,2.699784017278618,13.135559921414538,2623000000,0.0,0.016666666666666666,0.3443594359435944
2632000000,북구,구포동,21.608643457382954,1538.1294964028777,2632000000,1.5090543259557345e-07,0.016666666666666666,0.55425
2632000000,북구,덕천동,7.04,0.1252197940216026,2632000000,1.5090543259557345e-07,0.016666666666666666,0.55425
2632000000,북구,화명동,9.6,12.68762278978389,2632000000,1.5090543259557345e-07,0.016666666666666666,0.55425
2653000000,사상구,감전동,0.5999520038396928,0.030645566440592815,2653000000,3.8620689655172415e-07,0.016666666666666666,0.30175517551755177
2653000000,사상구,괘법동,0.5999520038396928,0.0346646571213263,2653000000,3.8620689655172415e-07,0.016666666666666666,0.30175517551755177
2653000000,사상구,덕포동,0.5999520038396928,0.07297161517206731,2653000000,3.8620689655172415e-07,0.016666666666666666,0.30175517551755177
2653000000,사상구,주례동,0.5999520038396928,0.017081135393117307,2653000000,3.8620689655172415e-07,0.016666666666666666,0.30175517551755177
2638010800,사하구,감천동,5.099592032637389,0.08063300678221552,2638000000,1.485884101040119e-07,0.14992503748125938,0.9552388097024256
2638010100,사하구,괴정동,8.0,10.416502946954814,2638000000,1.485884101040119e-07,0.14992503748125938,0.9552388097024256
2638000000,사하구,구평동,0.5999520038396928,0.031650339110776186,2638000000,1.485884101040119e-07,0.14992503748125938,0.9552388097024256
2638000000,사하구,다대동,0.5999520038396928,0.03692539562923888,2638000000,1.485884101040119e-07,0.14992503748125938,0.9552388097024256
2638010500,사하구,장림동,0.5999520038396928,0.02486812358703843,2638000000,1.485884101040119e-07,0.14992503748125938,0.9552388097024256
2638010300,사하구,하단동,0.5999520038396928,0.030143180105501127,2638000000,1.485884101040119e-07,0.14992503748125938,0.9552388097024256
2614000000,서구,암남동,7.04,0.0241145440844009,2614000000,0.0,0.016666666666666666,0.3043054305430543
2650000000,수영구,광안동,2.699784017278618,0.04245164531524742,2650000000,0.0,0.07501875468867218,0.4607424071991
2650010500,수영구,남천동,2.699784017278618,0.03918613413715147,2650000000,0.0,0.07501875468867218,0.4607424071991
2650000000,수영구,망미동,7.04,0.0728460185882944,2650000000,0.0,0.07501875468867218,0.4607424071991
2650000000,수영구,민락동,2.699784017278618,0.025244913338357194,2650000000,0.0,0.07501875468867218,0.4607424071991
2650000000,수영구,수영동,0.5999520038396928,0.043582014569203714,2650000000,0.0,0.07501875468867218,0.4607424071991
2647000000,연제구,거제동,2.699784017278618,0.07221803566942979,2647000000,4.1152263374485604e-07,0.07501875468867218,0.4673415823022121
2647000000,연제구,연산동,0.5999520038396928,0.04307962823411203,2647000000,4.1152263374485604e-07,0.07501875468867218,0.4673415823022121
2620010700,영도구,남항동3가,0.5999520038396928,0.024365737251946747,2620000000,0.0,0.14992503748125938,0.3433093309330933
2620000000,영도구,동삼동,21.608643457382954,12.298624754420432,2620000000,0.0,0.14992503748125938,0.3433093309330933
2620012000,영도구,청학동,0.5999520038396928,0.039939713639788994,2620000000,0.0,0.14992503748125938,0.3433093309330933
2635000000,해운대구,반여동,2.699784017278618,0.033534287867370005,2635000000,2.102446483180428e-07,0.07501875468867218,0.6909227306826706
2635000000,해운대구,석대동,0.5999520038396928,0.07887465460939462,2635000000,2.102446483180428e-07,0.07501875468867218,0.6909227306826706
2635000000,해운대구,송정동,2.699784017278618,10.569744597249509,2635000000,2.102446483180428e-07,0.07501875468867218,0.6909227306826706
2635000000,해운대구,우동,0.5999520038396928,0.043582014569203714,2635000000,2.102446483180428e-07,0.07501875468867218,0.6909227306826706
2635000000,해운대구,중동,2.699784017278618,0.08377292137653855,2635000000,2.102446483180428e-07,0.07501875468867218,0.6909227306826706
2617053000,동구,초량동,0.5999520038396928,0.050238633509168545,2617000000,1.9821605550049556e-07,0.016666666666666666,0.4343457067866516
