,SEQ,FLUD_CAUSE,F_DSTRC_NM,F_DSSTR_NM,F_CUE_DTL,ADM_CD,WRITNG_YM,FLUD_TIME,FLUD_DPWT,DMG_AMOUNT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_WAL,CITY,ZONE,DONG,FLUD_DPWT,SLOPE_L,SLOPE_H,SLOPE_AVG,HIGH
0,30581,2,장림지구,호우피해,집중호우로 인한 하수 범람,2638010500,200912,4,0.433 M,4668000000,20090716,20090716,800,1200,2.21M,부산광역시,사하구,장림동,0.433,0,2,1,1.98
22,40138,2,감천지구,집중호우,집중호우에 의한 주택침수,2638010800,201301,24,0.4 M~ 0.7 M,0,20110727,20110728,0,0,5.2M,부산광역시,사하구,감천동,0.495,5,12,8.5,6.42
78,90539,2,구서1/2/3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 온천천 주변의 저지대로 유입되어 침수 발생,2641000000,201501,4,0.3~0.5,0,20140825,20140825,1500,1900,24.0/ 24.3/ 21.4,부산광역시,금정구,구서동,0.329,7,15,11,24.95
75,90541,2,금사1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우(단시간 집중호우 발생)2. 지표수 및 노면수가 저지대로 일시 유입3. 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 공단로와 반송로의 저지대로 유입되어 침수 발생,2641000000,201501,4,0.3~1.0,0,20140825,20140825,1500,1900,7.5,부산광역시,금정구,금사동,0.912,2,7,4.5,6.88
73,90542,2,남산1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 남산로와 범어천로의 저지대로 유입되어 침수 발생,2641000000,201501,4,0.2~0.5,0,20140825,20140825,1500,1900,49.7m,부산광역시,금정구,남산동,0.147,2,7,4.5,49.6
72,90543,2,남산2/3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 온천천의 범람으로 하천수가 저지대로 유입되어 침수 발생,2641000000,201501,4,0.3~1.0,0,20140825,20140825,1500,1900,38.7~36.0,부산광역시,금정구,남산동,0.746,2,7,4.5,36.22
77,90544,2,노포1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 중앙대로의 저지대로 유입되어 침수 발생,2641000000,201501,4,0.3~1.0,67,20140825,20140825,1500,1900,66.6,부산광역시,금정구,노포동,0.693,7,15,11,63.77
70,90537,2,두구1/2/3/4지구,8월25일 집중호우에 의한 침수 피해,수영강의 범람으로 하천수가 저지대로 유입되어 침수발생,2641000000,201502,4,0.3~1.0,0,20140825,20140825,1500,1900,51.0~53.2,부산광역시,금정구,두구동,0.707,0,2,1,61.97
74,90538,2,두구5/6/7/8지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 구거의 범람으로 우수가 저지대로 유입되어 침수 발생,2641000000,201501,4,0.3~1.0,0,20140825,20140825,1500,1900,47.6~49.7,부산광역시,금정구,두구동,0.483,0,2,1,52.93
71,90536,2,부곡1/2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우(단시간 집중호우 발생)2. 지표수 및 노면수가 저지대로 일시 유입3. 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 온천천 주변의 저지대로 유입되어 침수 발생,2641000000,201501,4,0.3~1.0,0,20140825,20140825,1500,1900,10.6~12.6,부산광역시,금정구,부곡동,0.498,2,7,4.5,12.94
76,90540,2,장전1/2/3/4/5지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우(단시간 집중호우 발생)2. 지표수 및 노면수가 저지대로 일시 유입3. 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 온천천 주변의 저지대로 유입되어 침수 발생,2641000000,201501,4,0.3~1.0,0,20140825,20140825,1500,1900,12.1~16.5,부산광역시,금정구,장전동,0.42,2,7,4.5,15.16
119,102001,1,강동1지구,태풍「다나스」에 의한 침수피해,⊙ 저지대 / 하천 범람 - 주변보다 낮은 지대로 우수가 집중되고/ 집중호우로 평강천이 범람하여 마을전체가 침수 됨. - 평강천 하류 공사로 인한 지류 차단으로 하천수위가 단시간내 급격히 상승됨.,2644000000,201909,13,0.3~1.0,0,20190719,20190720,2300,1200,1.4,부산광역시,강서구,대저2동,0.82,0,2,1,1.57
117,101999,1,대저1-2지구,태풍「다나스」에 의한 침수피해,⊙ 하천유수량 증가로 인한 범람 - 피해지구는 태풍「다나스」에의한 집중호우 시 단시간 내 평강천 유수량의 급격한 증가로 하천이 범람하여 침수피해 발생.,2644000000,201909,13,0.5~1.0,0,20190719,20190720,2300,1200,1.1,부산광역시,강서구,대저1동,0.813,0,2,1,1.77
114,90599,2,대저1지구,집중호우로 인한 침수 피해,낙동강변 저지대에 침수 피해지역이 위치하여 하천의 수위상승과 하천 흐름의 지체로 내수배제 불량,2644000000,201505,3,0.3~0.5,0,20140825,20140825,1400,1700,2.2,부산광역시,강서구,대저1동,0.32,0,2,1,2.05
116,101977,1,대저1지구,태풍「다나스」에 의한 침수피해,⊙ 배수시설의 배수용량 초과 - 침수피해지역내 배수로 정비불량(토사물 및 수풀)으로 집중호우 시 배수용량을 초과한 우수가 유입됨에 따라 배수로에서 역류가 발생,2644000000,201909,13,57711,0,20190719,20190720,2300,1200,1.5,부산광역시,강서구,대저1동,0.316,0,2,1,1.82
115,90646,2,대저2지구,집중호우로 인한 침수 피해,집중호우 및 하천(낙동강) 수위상승으로 인한 내수 배수배제 불량,2644000000,201512,3,10cm~90cm,0,20140825,20140825,1400,1700,1.9~2.3,부산광역시,강서구,대저2동,0.98,0,2,1,1.18
118,102000,1,대저2지구,태풍「다나스」에 의한 침수피해,⊙ 배수시설의 배수용량 초과 - 주변지형보다 상대적으로 지대가 낮아 우수가 집중되고 (작지)배수펌프장에서 맥도강으로 배출되는 우수가 배수로 용량초과로 마을로 역류되어 침수피해 발생.,2644000000,201909,13,0.5~1.0,0,20190719,20190720,2300,1200,0.8,부산광역시,강서구,대저2동,0.84,0,2,1,1.18
8,32490,2,명지지구,태풍 “산바”로 인한 침수,태풍 산바에 의힌 침수,2644010400,201302,59,0.3 M ~ 0.8 M,0,20120914,20120917,0,0,1.58M,부산광역시,강서구,명지동,0.732,0,2,1,1.55
11,32493,2,성북지구,태풍 “산바”로 인한 침수,태풍 산바에 의한 침수,2644011900,201302,89,0.3 M ~ 0.4 M,0,20120914,20120917,0,0,1.53M,부산광역시,강서구,성북동,0.35,7,15,11,1.31
9,32491,2,눌차지구1,태풍 “산바”로 인한 침수,태풍 산바에 의한 침수,2644012000,201302,59,0.3 M ~ 0.4 M,0,20120914,20120917,0,0,1.55M,부산광역시,강서구,눌차동,0.345,15,30,22.5,1.63
10,32492,2,눌차지구2,태풍 “산바”로 인한 침수,태풍 산바에 의한 침수,2644012000,201302,59,0.3 M ~ 0.4 M,0,20120914,20120917,0,0,1.53M,부산광역시,강서구,눌차동,0.35,15,30,22.5,9.11
63,90920,2,거제1지구,집중호우에 의한 침수피해,1. 부산지역의 기록적인 폭우- 2017.9.11. 약 1시간 동안 집중호우 발생2. 우수가 저지대로 유입- 빗물이 단시간내에 저지대로 유입되어 배수 지연 및 역류 발생3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2647000000,201802,1,0.3~1.0,0,20170911,20170911,730,830,5.7,부산광역시,연제구,거제동,1,2,7,4.5,5.75
65,90921,2,거제2지구,집중호우에 의한 침수피해,1. 부산지역의 기록적인 폭우- 2017.9.11. 약 1시간 동안 집중호우 발생2. 우수가 저지대로 유입- 빗물이 단시간내에 저지대로 유입되어 배수 지연 및 역류 발생3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2647000000,201802,1,0.3~0.5,0,20170911,20170911,730,830,3.9,부산광역시,연제구,거제동,0.5,2,7,4.5,6.2
68,101998,1,신금로 침수,태풍 다나스,피해지구는 주변지형보다 상대적으로 지대가 낮아 주변의 우수가 집중되는    지형이며/ 온천천 외수위 상승에 따른 내수배제 불가 및 펌프장 용량      부족에 따른 침수 피해 발생,2647000000,201909,5,0.3~0.5,0,20190720,20190720,1000,1500,3.3~3.5,부산광역시,연제구,연산동,0.5,0,2,1,3.66
64,91028,2,연산1지구,집중호우에 의한 침수피해,1. 부산지역의 기록적인 폭우- 2017.9.11. 약 1시간 동안 집중호우 발생2. 우수가 저지대로 유입- 빗물이 단시간내에 저지대로 유입되어 배수 지연 및 역류 발생3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2647000000,201802,1,0.3~0.5,0,20170911,20170911,730,830,4,부산광역시,연제구,연산동,0.5,2,7,4.5,6.3
67,91029,2,연산2지구,집중호우에 의한 침수피해,1. 부산지역의 기록적인 폭우- 2017.9.11. 약 1시간 동안 집중호우 발생2. 우수가 저지대로 유입- 빗물이 단시간내에 저지대로 유입되어 배수 지연 및 역류 발생3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2647000000,201802,1,0.3~0.5,0,20170911,20170911,730,830,3.5,부산광역시,연제구,연산동,0.5,0,2,1,6.41
66,91030,2,연산3지구,집중호우에 의한 침수피해,1. 부산지역의 기록적인 폭우- 2017.9.11. 약 1시간 동안 집중호우 발생2. 배수펌프장 배전반 침수- 배수펌프장 내 배전반이 침수됨에 따라 펌프 작동이 중단되어 배수 불가3. 배수펌프장 펌프용량 부족- 펌프장 준공 당시와는 달리 각종 오·우수의 추가유입으로 펌프용량 부족4. 수영강 역류 발생- 펌프장에서 수영강으로 방류되는 개수로에서 역류발생5. 노면 유출수 집중현상- 노면유출수 분산처리시설이 미비하여 노면수가 배수펌프장으로 집중유입,2647000000,201802,1,0.3~1.0,0,20170911,20170911,730,830,2.1,부산광역시,연제구,연산동,1,0,2,1,3.43
62,90519,2,연제1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생- 온천천 제방 한계 수위까지 물이 불어남.2. 하천 수위 상승으로 인한 내수배제 불량- 온천천 수위 상승으로 배수 지연 및 역류 발생3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2647000000,201412,2,0.2m(최저)~0.4m(최고),0,20140825,20140825,1500,1700,EL. 6.1m,부산광역시,연제구,연산동,0.465,2,7,4.5,6.3
58,90520,2,연제2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생- 온천천 제방 한계 수위까지 물이 불어남.2. 하천 수위 상승으로 인한 내수배제 불량- 온천천 수위 상승으로 배수 지연 및 역류 발생3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2647000000,201412,2,0.2m(최저)~0.8m(최고),0,20140825,20140825,1500,1700,EL. 5.1m,부산광역시,연제구,연산동,0.878,0,2,1,6.41
60,90521,2,연제3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생- 온천천 제방 한계 수위까지 물이 불어남.2. 하천 수위 상승으로 인한 내수배제 불량- 온천천 수위 상승으로 배수 지연 및 역류 발생3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2647000000,201412,2,0.2m(최저)~0.4m(최고),0,20140825,20140825,1500,1700,EL. 5.6m,부산광역시,연제구,연산동,0.353,0,2,1,3.43
61,90522,2,연제4지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생- 온천천 제방 한계 수위까지 물이 불어남.2. 하천 수위 상승으로 인한 내수배제 불량- 온천천 수위 상승으로 배수 지연 및 역류 발생3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2647000000,201412,2,0.2m(최저)~0.7m(최고),0,20140825,20140825,1500,1700,EL. 4.1m,부산광역시,연제구,연산동,0.809,0,2,1,3.12
59,90523,2,연제5지구,집중호우로 인한 침수피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생- 온천천 제방 한계 수위까지 물이 불어남.2. 하천 수위 상승으로 인한 내수배제 불량- 온천천 수위 상승으로 배수 지연 및 역류 발생3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2647000000,201412,2,0.2m(최저)~0.7m(최고),0,20140825,20140825,1500,1700,EL. 3.3m,부산광역시,연제구,연산동,0.772,2,7,4.5,4.48
18,40029,2,거제지구,국지성 집중호우,집중호우로 인한 하수 범람,2647010100,201301,4,0.5 M,0,20090716,20090716,800,1200,4.64M,부산광역시,연제구,거제동,0.59,2,7,4.5,4.7
19,40030,2,연동지구,국지성 집중호우,집중호우로 인한 하수 범람,2647010200,201301,4,0.7 M,0,20090716,20090716,800,1200,4.45M,부산광역시,연제구,연산동,0.75,2,7,4.5,5.28
20,40031,2,한양지구,국지성 집중호우,집중호우로 인한 하수 범람,2647010200,201301,4,0.38 M,0,20090716,20090716,800,1200,3.53M,부산광역시,연제구,연산동,0.38,2,7,4.5,5.64
55,90922,2,광안1지구,집중호우로인한 침수,집중호우로인한 하수도 용량초과,2650000000,201801,1,0.3~0.5,0,20170911,20170911,730,830,2.5,부산광역시,수영구,광안동,0.43,2,7,4.5,2.94
53,90923,2,광안2지구,집중호우로인한 침수,집중호우로인한 하수도용량초과,2650000000,201801,1,0.3~0.5,0,20170911,20170911,730,830,6.43,부산광역시,수영구,민락동,0.871,2,7,4.5,2.01
57,90973,2,망미1지구,집중호우로인한 침수,집중호우로인한 하수도용량초과,2650000000,201801,1,0.3~0.7,0,20170911,20170911,730,830,2.57,부산광역시,수영구,광안동,0.5,2,7,4.5,3.38
56,90974,2,망미2지구,집중호우로인한 침수,집중호우로인한 하수도용량 초과,2650000000,201801,1,0.3~0.5,0,20170911,20170911,730,830,2.4,부산광역시,수영구,망미동,0.4,2,7,4.5,4.31
49,90673,1,민락1지구,태풍 '차바'에 의한 침수피해,1. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수 및 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 만조위 및 태풍의 영향으로 월파한 해수가 저지대로 유입되어 침수 발생.,2650000000,201702,2,0.3m~0.5m,8707000300,20161005,20161005,900,1100,79408.8,부산광역시,수영구,망미동,0.48,0,2,1,2.88
54,90997,2,민락1지구,집중호우로인한 침수,집중호우로인한 하수도 용량초과,2650000000,201801,1,0.3~0.7,0,20170911,20170911,730,830,2.8,부산광역시,수영구,망미동,0.617,7,15,11,5.8
50,90516,2,수영1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생- 수영강 수위 상승으로 범람 위기2. 하천 수위 상승으로 인한 내수배제 불량- 수영강 수위 상승으로 배수 지연3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2650000000,201412,2,0.2m(최저)~0.8m(최고),0,20140825,20140825,1500,1700,EL. 2.8m,부산광역시,수영구,민락동,0.67,0,2,1,2.72
51,90517,2,수영2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2650000000,201412,2,0.2m(최저)~0.7m(최고),0,20140825,20140825,1500,1700,EL. 5.7m,부산광역시,수영구,수영동,0.439,0,2,1,3.44
52,90518,2,수영3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2650000000,201412,2,0.2m(최저)~0.8m(최고),0,20140825,20140825,1500,1700,EL. 3.1m,부산광역시,수영구,수영동,0.53,0,2,1,3.47
1,30582,2,남천지구,침수피해,집중호우,2650010500,200912,4,0 M~ 1 M,0,20090716,20090716,600,1000,3M,부산광역시,수영구,남천동,0.68,2,7,4.5,3.12
107,90568,3,감전동 1지구,폭우로 인한 침수피해,#NAME?,2653000000,201501,2,0.2(최저)~0.5(최고)m,0,20140825,20140825,1500,1700,EL. 1.8m,부산광역시,사상구,주례동,0.48,0,2,1,1.36
109,90569,3,감전동 2지구,폭우로 인한 침수피해,#NAME?,2653000000,201501,2,0.3(최저)~0.5(최고)m,0,20140825,20140825,1500,1700,EL. 1.5m,부산광역시,사상구,감전동,0.55,0,2,1,2.44
110,90570,3,괘법동 1지구,폭우로 인한 침수피해,#NAME?,2653000000,201501,2,0.2(최저)~0.5(최고)m,0,20140825,20140825,1500,1700,EL. 1.4m,부산광역시,사상구,괘법동,0.55,0,2,1,2.76
108,90571,3,괘법동 2지구,폭우로 인한 침수피해,#NAME?,2653000000,201501,2,0.3(최저)~0.5(최고)m,0,20140825,20140825,1500,1700,EL. 1.6m,부산광역시,사상구,감전동,0.25,0,2,1,1.74
111,90567,3,덕포동 1지구,폭우로 인한 침수피해,#NAME?,2653000000,201501,2,0.3(최저)~0.7(최고)m,0,20140825,20140825,1500,1700,EL. 1.6m,부산광역시,사상구,덕포동,0.44,0,2,1,2.44
106,90572,2,주례동1지구,폭우로 인한 침수피해,#NAME?,2653000000,201501,2,0.3~0.5,0,20140825,20140825,1500,1700,10.2,부산광역시,사상구,덕포동,0.52,0,2,1,5.81
79,90549,2,문중지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 하천 수위 상승으로 인한 내수배제 불량- 덕선천과 동백천 사이 하천을 복개하여 우수 배제가 불리- 하천 수위 상승으로 배수 지연 및 주변 저지대 침수 발생3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2671000000,201501,3,0.2~0.5,0,20140825,20140825,1500,1800,10.29,부산광역시,기장군,일광면,0.35,2,7,4.5,6.87
80,90545,2,방곡지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 좌광천 주변 제방으로 인한 주변 저지대 내수배제 불량3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 하수 역류 발생4. 배수펌프시설이 주위에 없음5. 도로 포장(시멘트 및 아스팔트)으로 인한 지층으로 우수 배제 불리,2671000000,201501,3,0.2~0.5,0,20140825,20140825,1500,1800,53.2,부산광역시,기장군,일광면,0.3,2,7,4.5,53.4
87,90551,2,삼성지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 하천 하류와 해안이 접하는 지리적 특성으로 인한 수위 상승- 집중호우로 하천 수위 상승과 조수 만조가 겹쳐 하천 범람- 하천 수위 상승으로 내수배제 불량3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 4. 저지대 주거지를 중심으로 침수피해 발생,2671000000,201501,3,0.2~1.0,0,20140825,20140825,1500,1800,3.4,부산광역시,기장군,일광면,1.131,2,7,4.5,2.03
81,90553,2,송정지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 주위보다 높은 도로로 인한 주변 저지대 우수 집중 및 내수 배제 불량- 집중호우로 하천 수위 상승과 조수 만조가 겹쳐 하천 범람3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2671000000,201501,3,0.2~0.8,0,20140825,20140825,1500,1800,63.6,부산광역시,기장군,철마면,0.45,0,2,1,4.72
82,90552,2,신천지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 하천 수위 상승으로 인한 내수배제 불량- 신천천 수위 상승으로 배수 지연 및 하천 범람3. 피해 지역 주변에 배수시설 없음,2671000000,201501,3,0.3~2.2,0,20140825,20140825,1500,1800,6.4,부산광역시,기장군,기장읍,1.875,2,7,4.5,4.24
83,90554,2,예림지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 하천 제방 유실로 인한 하천 범람- 집중호우로 인한 좌광천 제방 유실로 하천 범람 발생- 좌광천 남측의 상대적으로 높은 도로로 인해 반대편의 농지 침수,2671000000,201501,3,0.3~1.3,0,20140825,20140825,1500,1800,38.71,부산광역시,기장군,정관읍,1.291,2,7,4.5,35.56
84,90550,2,오리지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 하천 수위 상승으로 인한 하천 범람- 하우스와 수목 등의 부유물이 하천 흐름 방해하여 피해 가중3. 상대적으로 높은 도로로 인한 주변 저지대로 우수 집중,2671000000,201501,3,0.2~0.9,0,20140825,20140825,1500,1800,61.25,부산광역시,기장군,장안읍,0.7,2,7,4.5,59.65
85,90555,2,용천지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 하천 수위 상승으로 인한 하천 범람- 하우스와 수목 등의 부유물이 하천 흐름 방해하여 피해 가중3. 하천 주변 농지를 중심으로 침수 피해 발생,2671000000,201501,3,0.2~0.7,0,20140825,20140825,1500,1800,30.12,부산광역시,기장군,일광면,0.66,2,7,4.5,33.49
89,90548,2,임랑지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 집중호우로 인한 저수지 붕괴/ 2개 하천(덕선천/ 좌광천)의 합류지점 및 조수 만조로 인해 침수 피해 발생3. 상대적으로 높은 철로로 인해 주변 저지대로 우수 집중,2671000000,201501,3,0.2~0.8,0,20140825,20140825,1500,1800,4.8,부산광역시,기장군,장안읍,0.689,2,7,4.5,5.32
88,90547,2,좌천지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 집중호우로 인한 저수지 붕괴/ 2개 하천(덕선천/ 좌광천)의 합류지점 및 조수 만조로 인해 침수 피해 발생3. 피해지역은 최근 새로이 형성된 도시지역임,2671000000,201501,3,0.3~1.8,0,20140825,20140825,1500,1800,11.12,부산광역시,기장군,장안읍,1.61,2,7,4.5,4.92
86,90546,2,철마지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 집중호우로 인한 하천(철마천) 수위 상승 및 하천 범람- 하천 주변 주거지역 및 농경지역 침수3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2671000000,201501,3,0.2~0.8,0,20140825,20140825,1500,1800,67.34,부산광역시,기장군,철마면,0.67,2,7,4.5,77.86
